                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.92813,                0.74351,                0.98629,                0.98704,                0.83333,                0.84423,                 0.5261,                 1.4385,                 1.1555,                 1.0266,             0.00035174,             0.00035174,             0.00035174
                     50,                0.86272,                0.62952,                0.91306,                0.98704,                0.83333,                0.84423,                 0.5261,                 1.4385,                 1.1555,                 1.0266,             0.00034614,             0.00034614,             0.00034614
                     51,                0.91237,                0.68793,                0.97763,                0.98672,                0.83333,                0.84763,                0.56321,                 1.3213,                 1.0222,                0.99683,                0.00034,                0.00034,                0.00034
                     52,                0.94092,                0.67799,                0.97214,                0.98672,                0.83333,                0.84763,                0.56321,                 1.3213,                 1.0222,                0.99683,             0.00033334,             0.00033334,             0.00033334
                     53,                0.88011,                0.68103,                0.95251,                0.98672,                0.83333,                0.84763,                0.56321,                 1.3213,                 1.0222,                0.99683,             0.00032614,             0.00032614,             0.00032614
                     54,                0.92903,                0.62216,                0.95675,                0.98624,                0.83333,                0.85346,                0.53296,                  1.404,                0.87764,                0.99284,             0.00031842,             0.00031842,             0.00031842
                     55,                0.92307,                0.64444,                0.96182,                0.98624,                0.83333,                0.85346,                0.53296,                  1.404,                0.87764,                0.99284,             0.00031018,             0.00031018,             0.00031018
                     56,                 0.8631,                0.61997,                0.90706,                0.98624,                0.83333,                0.85346,                0.53296,                  1.404,                0.87764,                0.99284,              0.0003014,              0.0003014,              0.0003014
                     57,                0.80956,                0.63393,                0.89981,                0.71758,                0.83333,                0.82144,                  0.498,                 1.4886,                 1.2749,                 1.0172,              0.0002921,              0.0002921,              0.0002921
                     58,                 1.0051,                0.73418,                 1.0002,                0.71758,                0.83333,                0.82144,                  0.498,                 1.4886,                 1.2749,                 1.0172,             0.00028226,             0.00028226,             0.00028226
                     59,                0.87659,                0.58559,                0.92515,                0.71758,                0.83333,                0.82144,                  0.498,                 1.4886,                 1.2749,                 1.0172,              0.0002719,              0.0002719,              0.0002719
                     60,                 0.8975,                0.60049,                0.94115,                0.14496,                0.83333,                0.14399,                0.08333,                 1.5588,                 4.5468,                 1.0363,             0.00026102,             0.00026102,             0.00026102
                     61,                0.94425,                 0.6207,                0.90982,                0.14496,                0.83333,                0.14399,                0.08333,                 1.5588,                 4.5468,                 1.0363,              0.0002496,              0.0002496,              0.0002496
                     62,                0.91855,                0.66164,                0.95912,                0.14496,                0.83333,                0.14399,                0.08333,                 1.5588,                 4.5468,                 1.0363,             0.00023766,             0.00023766,             0.00023766
                     63,                0.81474,                0.58044,                0.88945,                 0.2007,                0.83333,                0.20035,                 0.1173,                 1.5471,                 2.2095,                 1.0275,             0.00022518,             0.00022518,             0.00022518
                     64,                0.76848,                0.56135,                0.91318,                 0.2007,                0.83333,                0.20035,                 0.1173,                 1.5471,                 2.2095,                 1.0275,             0.00021218,             0.00021218,             0.00021218
                     65,                0.92754,                0.64315,                0.95044,                 0.2007,                0.83333,                0.20035,                 0.1173,                 1.5471,                 2.2095,                 1.0275,             0.00019866,             0.00019866,             0.00019866
                     66,                0.63276,                0.50194,                0.88232,                0.98802,                0.83333,                0.87192,                0.55852,                 1.4196,                0.85318,                 1.0145,              0.0001846,              0.0001846,              0.0001846
                     67,                 0.7956,                0.54013,                0.86563,                0.98802,                0.83333,                0.87192,                0.55852,                 1.4196,                0.85318,                 1.0145,             0.00017002,             0.00017002,             0.00017002
                     68,                0.67758,                0.52369,                0.91423,                0.98802,                0.83333,                0.87192,                0.55852,                 1.4196,                0.85318,                 1.0145,              0.0001549,              0.0001549,              0.0001549
                     69,                0.74806,                0.55484,                 0.9051,                0.98966,                0.83333,                0.86324,                0.55117,                  1.353,                0.89269,                 1.0098,             0.00013926,             0.00013926,             0.00013926
                     70,                0.67934,                0.51819,                0.84061,                0.98966,                0.83333,                0.86324,                0.55117,                  1.353,                0.89269,                 1.0098,              0.0001231,              0.0001231,              0.0001231
                     71,                0.67048,                0.51266,                0.85654,                0.98966,                0.83333,                0.86324,                0.55117,                  1.353,                0.89269,                 1.0098,              0.0001064,              0.0001064,              0.0001064
                     72,                0.72401,                0.52791,                0.89949,                0.98968,                0.83333,                0.85214,                0.54309,                 1.3579,                0.95102,                 1.0229,             8.9176e-05,             8.9176e-05,             8.9176e-05
                     73,                0.64927,                0.49619,                0.82064,                0.98968,                0.83333,                0.85214,                0.54309,                 1.3579,                0.95102,                 1.0229,             7.1424e-05,             7.1424e-05,             7.1424e-05
                     74,                0.67046,                0.50308,                0.86189,                0.98968,                0.83333,                0.85214,                0.54309,                 1.3579,                0.95102,                 1.0229,             5.3144e-05,             5.3144e-05,             5.3144e-05
                     75,                0.65461,                0.55601,                0.84713,                0.98988,                0.83333,                0.84833,                 0.5408,                 1.3701,                0.98949,                 1.0349,             3.4336e-05,             3.4336e-05,             3.4336e-05
